Frame,FrameTime_ms,Cubes
1,1.1329,5
2,0.0687,5
3,20.0385,5
4,11.3547,5
5,8.7199,5
6,9.9453,5
7,20.3412,5
8,26.3265,5
9,13.2318,5
10,8.5865,5
11,6.2232,5
12,7.6031,5
13,7.4708,5
14,9.455,5
15,7.4966,5
16,7.2595,5
17,6.9863,5
18,7.2215,5
19,6.1782,5
20,7.5123,5
21,7.6208,5
22,5.5099,5
23,7.3103,5
24,5.9968,5
25,5.7575,5
26,6.7272,5
27,6.2549,5
28,4.6106,5
29,3.825,5
30,2.7523,5
31,4.2191,5
32,2.4432,5
33,3.7591,5
34,3.0546,5
35,3.0067,5
36,2.3614,5
37,4.4896,5
38,2.3033,5
39,4.2165,5
40,4.1599,5
41,3.3075,5
42,3.0948,5
43,3.7231,5
44,3.117,5
45,3.94,5
46,2.6668,5
47,3.1363,5
48,3.0701,5
49,4.7391,5
50,2.504,5
51,3.102,5
52,3.0931,5
53,3.0799,5
54,4.2224,5
55,2.7202,5
56,3.9543,5
57,2.4207,5
58,3.749,5
59,3.0509,5
60,3.7519,5
61,2.8731,5
62,3.0792,5
63,3.8272,5
64,3.7735,5
65,3.06,5
66,2.7175,5
67,3.7869,5
68,2.5585,5
69,3.7765,5
70,3.383,5
71,3.9245,5
72,2.4875,5
73,3.6649,5
74,3.2096,5
75,3.7305,5
76,2.7861,5
77,3.12,5
78,3.8553,5
79,3.0298,5
80,3.6773,5
81,2.4803,5
82,3.7126,5
83,2.5091,5
84,3.8553,5
85,3.1663,5
86,3.9531,5
87,2.4043,5
88,3.1173,5
89,3.8633,5
90,3.2275,5
91,3.8331,5
92,2.4044,5
93,3.696,5
94,3.1609,5
95,3.7447,5
96,2.6661,5
97,3.6897,5
98,2.539,5
99,3.787,5
100,2.4577,5
101,4.5608,5
102,2.4386,5
103,3.1599,5
104,3.8112,5
105,3.3663,5
106,4.1311,5
107,2.4472,5
108,3.8627,5
109,3.0368,5
110,3.6497,5
111,2.7765,5
112,3.7655,5
113,2.4964,5
114,3.7177,5
115,3.2214,5
116,3.8412,5
117,2.6196,5
118,3.1193,5
119,3.8764,5
120,2.9252,5
121,3.9748,5
122,2.5111,5
123,3.8527,5
124,2.3804,5
125,4.494,5
126,2.4961,5
127,3.1174,5
128,3.099,5
129,3.2992,5
130,4.977,5
131,3.0099,5
132,2.8368,5
133,3.319,5
134,3.3279,5
135,3.7713,5
136,3.3268,5
137,3.066,5
138,3.1239,5
139,3.4213,5
140,3.5602,5
141,3.3186,5
142,3.1007,5
143,3.06,5
144,3.1618,5
145,3.6909,5
146,4.0362,5
147,2.4795,5
148,3.1333,5
149,3.8474,5
150,2.8736,5
151,3.3067,5
152,3.1152,5
153,3.1142,5
154,3.1341,5
155,3.6505,5
156,3.3588,5
157,3.1203,5
158,3.0739,5
159,3.1004,5
160,3.6829,5
161,3.4673,5
162,3.739,5
163,2.756,5
164,5.0777,5
165,1.7249,5
166,3.5409,5
167,2.8717,5
168,3.7864,5
169,2.5289,5
170,4.583,5
171,2.7205,5
172,3.6824,5
173,2.5801,5
174,3.8344,5
175,4.6548,5
176,3.0933,5
177,2.9617,5
178,3.7907,5
179,3.0768,5
180,3.9217,5
181,2.6571,5
182,3.1078,5
183,3.7918,5
184,3.2779,5
185,3.446,5
186,2.7503,5
187,3.7375,5
188,2.5121,5
189,4.5315,5
190,2.177,5
191,3.2941,5
192,4.3038,5
193,2.6885,5
194,2.4785,5
195,4.1726,5
196,3.3448,5
197,2.4426,5
198,3.1376,5
199,3.1502,5
200,4.7032,5
201,2.6894,5
202,3.1074,5
203,3.1376,5
204,3.1062,5
205,3.7021,5
206,3.2607,5
207,3.1111,5
208,3.1015,5
209,3.2089,5
210,3.6233,5
211,3.9002,5
212,2.5205,5
213,3.1061,5
214,3.1561,5
215,4.3161,5
216,2.8562,5
217,2.988,5
218,3.1168,5
219,3.1051,5
220,3.6264,5
221,3.3504,5
222,3.0722,5
223,3.0708,5
224,3.0911,5
225,3.9078,5
226,3.2289,5
227,3.0694,5
228,3.1116,5
229,3.1353,5
230,3.1088,5
231,3.9128,5
232,3.2477,5
233,3.0731,5
234,3.0719,5
235,3.6438,5
236,3.2633,5
237,4.1225,5
238,2.0247,5
239,3.0696,5
240,3.6759,5
241,3.27,5
242,3.2074,5
243,2.9946,5
244,3.0891,5
245,3.1272,5
246,3.5936,5
247,3.2925,5
248,3.1287,5
249,3.0725,5
250,3.1543,5
251,3.5413,5
252,3.2573,5
253,3.0729,5
254,3.1051,5
255,3.1287,5
256,3.5249,5
257,3.2145,5
258,3.12,5
259,2.617,5
260,3.096,5
261,3.0558,5
262,3.6072,5
263,3.0795,5
264,3.0967,5
265,3.0955,5
266,3.0812,5
267,3.1445,5
268,3.0885,5
269,3.9999,5
270,3.4125,5
271,3.6258,5
272,3.3279,5
273,3.0782,5
274,3.0667,5
275,3.0952,5
276,3.1154,5
277,3.6355,5
278,3.0836,5
279,3.0694,5
280,3.1675,5
281,3.0876,5
282,3.6486,5
283,3.2468,5
284,3.1992,5
285,3.0506,5
286,3.0776,5
287,3.1315,5
288,3.7481,5
289,3.1255,5
290,3.0826,5
291,3.0726,5
292,4.8566,5
293,2.4773,5
294,2.8053,5
295,3.045,5
296,3.0943,5
297,4.1533,5
298,3.315,5
299,3.1122,5
300,3.0927,5
301,3.0854,5
302,3.6892,5
303,3.3058,5
304,3.123,5
305,3.0898,5
306,3.0873,5
307,3.1079,5
308,3.9367,5
309,14.4542,5
310,3.7547,5
311,3.7423,5
312,3.9934,5
313,3.0155,5
314,3.6648,5
315,3.1265,5
316,3.0798,5
317,3.0683,5
318,3.1421,5
319,3.6478,5
320,3.0809,5
321,3.1017,5
322,3.1176,5
323,3.1368,5
324,3.6318,5
325,3.2659,5
326,3.1025,5
327,3.1,5
328,3.1312,5
329,3.7021,5
330,3.3105,5
331,3.1412,5
332,3.2798,5
333,3.1583,5
334,3.971,5
335,3.2512,5
336,3.1112,5
337,3.0545,5
338,3.0985,5
339,3.6775,5
340,3.2559,5
341,3.1025,5
342,3.1017,5
343,3.1107,5
344,3.6877,5
345,3.2462,5
346,3.1016,5
347,3.353,5
348,3.1259,5
349,3.7021,5
350,3.2752,5
351,3.1574,5
352,3.061,5
353,3.278,5
354,3.6299,5
355,3.3047,5
356,3.0891,5
357,3.2111,5
358,3.1302,5
359,3.0919,5
360,3.1059,5
361,3.4813,5
362,3.0896,5
363,3.0663,5
364,3.1298,5
365,3.9482,5
366,3.25,5
367,3.2126,5
368,3.5884,5
369,3.0853,5
370,3.5635,5
371,2.6081,5
372,3.1135,5
373,3.7462,5
374,3.0969,5
375,3.5895,5
376,2.8193,5
377,3.6958,5
378,2.611,5
379,3.6148,5
380,2.972,5
381,4.0571,5
382,2.3273,5
383,3.1095,5
384,3.6616,5
385,3.6889,5
386,3.1179,5
387,2.6006,5
388,3.5687,5
389,2.6165,5
390,4.1085,5
391,4.1537,5
392,1.7613,5
393,3.7273,5
394,2.5086,5
395,4.6459,5
396,3.8115,5
397,1.9948,5
398,3.1066,5
399,3.6822,5
400,3.7583,5
401,3.2996,5
402,2.5212,5
403,3.723,5
404,2.4942,5
405,4.2129,5
406,2.772,5
407,3.2997,5
408,2.909,5
409,3.4099,5
410,4.4516,5
411,2.5527,5
412,3.7021,5
413,2.5373,5
414,3.6756,5
415,3.9989,5
416,3.1701,5
417,2.6297,5
418,3.7384,5
419,2.4984,5
420,3.8924,5
421,2.8112,5
422,3.4014,5
423,3.6352,5
424,2.4878,5
425,3.968,5
426,2.6743,5
427,3.7893,5
428,2.5968,5
429,3.7106,5
430,2.6715,5
431,4.4587,5
432,2.8006,5
433,3.6774,5
434,2.6572,5
435,4.8021,5
436,2.1813,5
437,3.2935,5
438,3.8179,5
439,2.5253,5
440,4.0299,5
441,3.0692,5
442,4.6419,5
443,1.8377,5
444,3.2821,5
445,3.6481,5
446,3.4209,5
447,2.8166,5
448,3.7545,5
449,2.5663,5
450,4.6205,5
451,2.4633,5
452,3.2213,5
453,3.5111,5
454,2.536,5
455,4.3636,5
456,2.5115,5
457,3.5188,5
458,2.9362,5
459,3.9841,5
460,2.3211,5
461,3.3748,5
462,2.9072,5
463,3.5934,5
464,3.5905,5
465,2.6063,5
466,4.6169,5
467,2.7607,5
468,3.9555,5
469,2.4115,5
470,3.196,5
471,3.6249,5
472,3.2348,5
473,3.1831,5
474,3.1224,5
475,3.6541,5
476,3.3612,5
477,3.3119,5
478,3.2083,5
479,3.7578,5
480,2.5013,5
481,3.8493,5
482,3.1906,5
483,3.7754,5
484,2.5098,5
485,3.7441,5
486,3.5871,5
487,3.3918,5
488,2.6288,5
489,3.7297,5
490,2.5115,5
491,4.1518,5
492,2.871,5
493,3.1117,5
494,4.2202,5
495,2.5065,5
496,3.6331,5
497,3.328,5
498,3.9356,5
499,2.5328,5
500,3.6998,5
501,3.9274,5
502,3.2152,5
503,2.5265,5
504,3.7115,5
505,2.5649,5
506,4.0641,5
507,3.0819,5
508,3.1252,5
509,3.7705,5
510,2.5106,5
511,4.2252,5
512,2.7057,5
513,3.1308,5
514,3.1922,5
515,3.1491,5
516,3.6056,5
517,3.3007,5
518,3.1488,5
519,3.1893,5
520,3.1279,5
521,3.6642,5
522,3.2997,5
523,3.1043,5
524,3.1896,5
525,3.1348,5
526,3.8803,5
527,2.3958,5
528,3.8124,5
529,2.8858,5
530,3.1283,5
531,3.7399,5
532,2.4999,5
533,4.0083,5
534,3.0531,5
535,3.1709,5
536,3.0869,5
537,3.7665,5
538,3.2804,5
539,3.1056,5
540,3.1073,5
541,3.6443,5
542,3.3462,5
543,3.2071,5
544,3.1089,5
545,3.1228,5
546,3.1632,5
547,3.7645,5
548,3.4327,5
549,3.1059,5
550,3.1263,5
551,3.0929,5
552,3.6219,5
553,3.2989,5
554,3.4116,5
555,2.8639,5
556,3.125,5
557,4.3766,5
558,3.4799,5
559,3.3675,5
560,2.0332,5
561,4.2616,5
562,3.0344,5
563,2.661,5
564,3.7564,5
565,3.7171,5
566,2.5083,5
567,4.3453,5
568,2.7773,5
569,3.7809,5
570,2.4693,5
571,4.4611,5
572,2.4146,5
573,3.5738,5
574,2.8968,5
575,3.1429,5
576,3.9672,5
577,3.8461,5
578,3.3667,5
579,2.366,5
580,3.757,5
581,2.6064,5
582,4.2897,5
583,2.626,5
584,3.6706,5
585,2.5796,5
586,3.7346,5
587,3.6735,5
588,3.2389,5
589,2.6238,5
590,3.2253,5
591,5.1172,5
592,1.1499,5
593,3.3544,5
594,3.5265,5
595,3.8179,5
596,2.449,5
597,3.7093,5
598,3.4767,5
599,7.1129,5
600,2.7671,5
601,4.1624,5
602,3.2953,5
603,2.6347,5
604,3.1528,5
605,3.7878,5
606,4.1214,5
607,17.5619,5
608,3.5997,5
609,5.0924,5
610,4.6765,5
611,5.0095,5
612,4.193,5
613,4.8293,5
614,5.0603,5
615,4.3738,5
616,4.2813,5
617,4.2657,5
618,3.346,5
619,3.1264,5
620,3.4506,5
621,3.1458,5
622,3.2151,5
623,4.1273,5
624,3.3643,5
625,3.1737,5
626,3.1593,5
627,3.1909,5
628,3.8511,5
629,3.3792,5
630,3.1621,5
631,3.1541,5
632,3.1413,5
633,3.7592,5
634,3.3401,5
635,3.1432,5
636,3.1736,5
637,3.2145,5
638,3.6674,5
639,3.3458,5
640,3.1593,5
641,3.152,5
642,3.201,5
643,3.2195,5
644,3.3864,5
645,3.6366,5
646,3.0106,5
647,3.163,5
648,3.2218,5
649,3.6294,5
650,3.1174,5
651,3.1525,5
652,3.1995,5
653,3.1917,5
654,3.9798,5
655,3.3359,5
656,3.155,5
657,3.1953,5
658,3.7287,5
659,3.2727,5
660,3.1548,5
661,3.1434,5
662,3.1326,5
663,3.7821,5
664,3.2874,5
665,4.1243,5
666,2.1484,5
667,3.1275,5
668,3.7047,5
669,3.3177,5
670,3.1877,5
671,3.2177,5
672,3.1347,5
673,3.6545,5
674,3.3305,5
675,3.2068,5
676,3.1684,5
677,3.1412,5
678,3.6264,5
679,3.3378,5
680,3.2078,5
681,3.1248,5
682,3.1539,5
683,4.1373,5
684,3.3294,5
685,4.4186,5
686,1.8796,5
687,3.1683,5
688,4.4783,5
689,2.63,5
690,3.1379,5
691,3.3636,5
692,2.917,5
693,4.3358,5
694,2.7476,5
695,3.7324,5
696,2.5543,5
697,4.3934,5
698,2.9783,5
699,3.0856,5
700,2.6746,5
701,3.5963,5
702,2.6651,5
703,4.4357,5
704,3.0665,5
705,2.5637,5
706,3.6872,5
707,2.9064,5
708,4.5803,5
709,2.4879,5
710,3.8138,5
711,2.483,5
712,3.7345,5
713,3.7757,5
714,3.2168,5
715,2.5824,5
716,3.8999,5
717,2.5684,5
718,4.087,5
719,3.7039,5
720,2.87,5
721,3.8107,5
722,2.5577,5
723,4.4742,5
724,2.6423,5
725,3.9742,5
726,2.3844,5
727,3.9731,5
728,3.6187,5
729,3.6081,5
730,2.9315,5
731,3.1712,5
732,2.4307,5
733,4.216,5
734,2.7534,5
735,3.2289,5
736,3.7399,5
737,2.5357,5
738,4.1922,5
739,2.7491,5
740,3.9046,5
741,2.3915,5
742,3.7251,5
743,3.2105,5
744,3.0991,5
745,3.0996,5
746,3.8083,5
747,2.5028,5
748,3.9168,5
749,3.2206,5
750,2.6107,5
751,3.0744,5
752,3.1083,5
753,3.1196,5
754,4.6662,5
755,2.6201,5
756,3.1098,5
757,3.1028,5
758,3.0826,5
759,3.821,5
760,3.202,5
761,3.1527,5
762,3.1366,5
763,3.1468,5
764,3.7818,5
765,3.3161,5
766,3.1174,5
767,3.1457,5
768,4.1449,5
769,3.2208,5
770,3.3304,5
771,3.1417,5
772,3.2141,5
773,3.26,5
774,4.0947,5
775,3.0799,5
776,2.831,5
777,3.1207,5
778,3.1517,5
779,3.768,5
780,3.348,5
781,3.8549,5
782,2.5658,5
783,3.1843,5
784,4.5774,5
785,3.2871,5
786,2.6614,5
787,4.3814,5
788,1.8331,5
789,4.3558,5
790,2.6803,5
791,3.128,5
792,3.7729,5
793,2.4917,5
794,4.2997,5
795,2.7403,5
796,3.7145,5
797,2.5446,5
798,4.1578,5
799,2.5335,5
800,3.5364,5
801,2.9086,5
802,3.1505,5
803,3.7442,5
804,3.7417,5
805,3.138,5
806,2.5406,5
807,3.7421,5
808,2.473,5
809,4.1571,5
810,2.6789,5
811,3.643,5
812,2.6254,5
813,3.2876,5
814,3.764,5
815,2.4478,5
816,4.2189,5
817,2.4881,5
818,3.7992,5
819,3.0706,5
820,4.0469,5
821,2.7494,5
822,3.6928,5
823,2.5942,5
824,4.2543,5
825,2.775,5
826,3.8165,5
827,2.4487,5
828,3.1296,5
829,4.5227,5
830,2.8251,5
831,3.7176,5
832,2.5226,5
833,3.6747,5
834,3.5879,5
835,3.3436,5
836,2.6114,5
837,3.9833,5
838,2.1912,5
839,4.1118,5
840,2.7393,5
841,3.5983,5
842,2.8608,5
843,3.1492,5
844,3.9497,5
845,2.273,5
846,3.5813,5
847,3.0383,5
848,3.6271,5
849,2.6314,5
850,4.6698,5
851,2.822,5
852,3.8066,5
853,2.1314,5
854,4.9935,5
855,1.3035,5
856,3.7417,5
857,3.0725,5
858,3.1007,5
859,3.1399,5
860,3.6933,5
861,2.5456,5
862,3.7633,5
863,3.1007,5
864,3.1887,5
865,3.0827,5
866,3.8794,5
867,3.3121,5
868,3.111,5
869,3.1503,5
870,3.7806,5
871,3.2879,5
872,3.1217,5
873,3.223,5
874,3.149,5
875,3.7799,5
876,3.2914,5
877,3.1011,5
878,3.2035,5
879,3.086,5
880,3.1014,5
881,3.4917,5
882,3.1083,5
883,3.0545,5
884,3.1168,5
885,3.3089,5
886,3.8804,5
887,3.1266,5
888,3.0884,5
889,3.0533,5
890,3.1132,5
891,3.643,5
892,3.0929,5
893,3.0716,5
894,3.0738,5
895,3.6127,5
896,3.2449,5
897,3.0847,5
898,3.0677,5
899,3.0734,5
900,3.0746,5
901,3.9868,5
902,16.5852,5
903,3.8786,5
904,3.8909,5
905,3.9912,5
906,5.2879,5
907,4.4764,5
908,3.9633,5
909,3.9978,5
910,3.1613,5
911,3.8659,5
912,3.243,5
913,3.1218,5
914,3.139,5
915,3.9835,5
916,3.244,5
917,3.1139,5
918,3.1385,5
919,3.1128,5
920,3.7633,5
921,3.4797,5
922,3.0536,5
923,3.4647,5
924,2.8912,5
925,3.5973,5
926,3.3631,5
927,3.0444,5
928,3.092,5
929,3.1689,5
930,3.4791,5
931,3.2187,5
932,3.3297,5
933,2.9482,5
934,2.9453,5
935,4.1081,5
936,2.6713,5
937,3.114,5
938,3.8353,5
939,2.3938,5
940,3.6662,5
941,2.5644,5
942,4.2692,5
943,2.3037,5
944,3.2873,5
945,3.3815,5
946,3.7651,5
947,2.9011,5
